"Region","Product","Price"
"Eastern Region","Exchange Online (Plan 2)","$8,00"
"Eastern Region","Power Automate Free","$0,00"
"Eastern Region","Microsoft Entra ID P2","$63,00"
"Eastern Region","Exchange Online (Plan 1)","$12,00"
"Eastern Region","Microsoft 365 Business Premium","$154,00"
"Sub Contractors","No Licenses Assigned","$0,00"
"Sub Contractors","Exchange Online (Plan 1)","$76,00"
"Unassigned Region","Remote_Help_AddOn","$0,00"
"Unassigned Region","Power BI Pro","$10,00"
"Unassigned Region","Power Apps Developer","$0,00"
"Unassigned Region","Copilot Studio (Preview)","$0,00"
"Unassigned Region","Microsoft Entra ID P2","$36,00"
"Unassigned Region","Exchange Online (Plan 1)","$12,00"
"Unassigned Region","Power Automate Free","$0,00"
"Unassigned Region","Microsoft 365 Business Premium","$66,00"
"Unassigned Region","No Licenses Assigned","$0,00"
"Southern Region","Exchange Online (Plan 2)","$8,00"
"Southern Region","Power BI Pro","$10,00"
"Southern Region","Power Apps Developer","$0,00"
"Southern Region","Microsoft Entra ID P2","$54,00"
"Southern Region","Power Automate Free","$0,00"
"Southern Region","Microsoft 365 Business Premium","$132,00"
"Southern Region","No Licenses Assigned","$0,00"
"Italy","Microsoft Entra ID P2","$9,00"
"Italy","Microsoft 365 Business Premium","$22,00"
"Northern Region","Power BI Pro","$10,00"
"Northern Region","Power Automate Free","$0,00"
"Northern Region","Microsoft Entra ID P2","$45,00"
"Northern Region","Microsoft 365 Business Premium","$132,00"
"Netherlands","Power Automate Free","$0,00"
"Netherlands","Microsoft Entra ID P2","$9,00"
"Netherlands","Microsoft 365 Business Premium","$22,00"
"Western Region","Microsoft_365_Copilot","$0,00"
"Western Region","Power BI Pro","$10,00"
"Western Region","Power Apps Developer","$0,00"
"Western Region","Microsoft Entra ID P2","$36,00"
"Western Region","Power Automate Free","$0,00"
"Western Region","Microsoft 365 Business Premium","$88,00"
